Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2170906,"lb2_E11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782508",SRX1782508,"Gray Camp","Feb 08, 2017"
GSM2170907,"lb2_E12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782509",SRX1782509,"Gray Camp","Feb 08, 2017"
GSM2170908,"lb2_E1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782510",SRX1782510,"Gray Camp","Feb 08, 2017"
GSM2170909,"lb2_E2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782511",SRX1782511,"Gray Camp","Feb 08, 2017"
GSM2170910,"lb2_E3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782512",SRX1782512,"Gray Camp","Feb 08, 2017"
GSM2170911,"lb2_E4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782513",SRX1782513,"Gray Camp","Feb 08, 2017"
GSM2170912,"lb2_E7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782514",SRX1782514,"Gray Camp","Feb 08, 2017"
GSM2170913,"lb2_E8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782515",SRX1782515,"Gray Camp","Feb 08, 2017"
GSM2170914,"lb2_F10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782516",SRX1782516,"Gray Camp","Feb 08, 2017"
GSM2170915,"lb2_F11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782517",SRX1782517,"Gray Camp","Feb 08, 2017"
GSM2170916,"lb2_F12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782518",SRX1782518,"Gray Camp","Feb 08, 2017"
GSM2170917,"lb2_F1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782519",SRX1782519,"Gray Camp","Feb 08, 2017"
GSM2170918,"lb2_F3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782520",SRX1782520,"Gray Camp","Feb 08, 2017"
GSM2170919,"lb2_F6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782521",SRX1782521,"Gray Camp","Feb 08, 2017"
GSM2170920,"lb2_F7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782522",SRX1782522,"Gray Camp","Feb 08, 2017"
GSM2170921,"lb2_F8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782523",SRX1782523,"Gray Camp","Feb 08, 2017"
GSM2170922,"lb2_F9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782524",SRX1782524,"Gray Camp","Feb 08, 2017"
GSM2170923,"lb2_G10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782525",SRX1782525,"Gray Camp","Feb 08, 2017"
GSM2170924,"lb2_G12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782526",SRX1782526,"Gray Camp","Feb 08, 2017"
